White Player,Black Player,White Depth,Black Depth,White Turn Time,Black Turn Time,Number of Moves,Winning Player
Minimax AI,Minimax AI,3.0,2,28.59087181,3.506643295,211,draw
Minimax AI,Minimax AI,3.0,2,14.50750875,1.889121771,91,draw
Minimax AI,Minimax AI,3.0,3,15.80529261,19.64303803,136,black
Minimax AI,Minimax AI,3.0,3,10.90516996,11.21741152,69,draw
Minimax AI,Minimax AI,3.0,3,13.4489429,10.67473698,89,draw
Minimax AI,Stockfish AI,1.0,1,0.04171133,3.936877489,58,black
Minimax AI,Stockfish AI,1.0,1,0.011521339,1.085189104,16,black
Minimax AI,Stockfish AI,1.0,1,0.016935587,2.309756517,34,black
Minimax AI,Stockfish AI,1.0,2,0.080606699,10.14803243,150,black
Minimax AI,Stockfish AI,1.0,2,0.071076632,8.347068071,120,black
Minimax AI,Stockfish AI,1.0,2,0.018375397,1.617564678,24,black
Minimax AI,Stockfish AI,1.0,3,0.031718493,3.425549507,48,black
Minimax AI,Stockfish AI,1.0,3,0.035234213,3.41663599,50,black
Minimax AI,Stockfish AI,1.0,3,0.022155762,2.60084486,38,black
Minimax AI,Stockfish AI,2.0,1,1.505222082,8.299903393,120,black
Minimax AI,Stockfish AI,2.0,1,1.03795743,4.72240448,68,black
Minimax AI,Stockfish AI,2.0,1,6.376165867,38.44476962,258,black
Minimax AI,Stockfish AI,2.0,2,2.030077219,8.540855885,92,black
Minimax AI,Stockfish AI,2.0,2,1.581442833,6.93671155,70,black
Minimax AI,Stockfish AI,2.0,2,1.629576683,7.311577082,78,black
Minimax AI,Stockfish AI,2.0,3,0.659651756,3.349264622,38,black
Minimax AI,Stockfish AI,2.0,3,0.858464003,6.450084448,58,black
Minimax AI,Stockfish AI,2.0,3,2.94451046,23.60421324,146,black
Random AI,Minimax AI,,1,0.0,0.101271152,167,white
Random AI,Minimax AI,,1,6.46e-05,0.120619059,197,draw
Random AI,Minimax AI,,2,0.0,2.366246939,108,black
Random AI,Minimax AI,,2,0.00100112,1.103009701,60,black
Random AI,Minimax AI,,1,0.000205278,0.074722528,112,black
Random AI,Minimax AI,,1,0.0,0.037839413,46,black
Random AI,Minimax AI,,2,0.00409174,4.186137676,228,black
Random AI,Minimax AI,,2,0.000999928,4.701018333,238,black
Random AI,Stockfish AI,,1,0.0,7.498003721,106,black
Random AI,Stockfish AI,,1,0.0,2.538732767,36,black
Random AI,Stockfish AI,,2,0.001517534,4.680778265,66,black
Random AI,Stockfish AI,,2,0.0,5.671956062,80,black
Random AI,Stockfish AI,,1,0.000505447,2.017004728,28,black
Random AI,Stockfish AI,,1,0.0,3.812562227,54,black
Random AI,Stockfish AI,,2,0.0,3.994302273,56,black
Random AI,Stockfish AI,,2,0.000998974,8.11819911,114,black
Minimax AI,Minimax AI,1.0,1,0.138534784,0.144462824,160,draw
Minimax AI,Minimax AI,1.0,1,0.15713954,0.145174026,159,draw
Minimax AI,Minimax AI,1.0,2,0.076636791,1.89419961,88,draw
Minimax AI,Minimax AI,1.0,2,0.172248125,4.489411592,160,draw
Minimax AI,Minimax AI,2.0,1,1.552696943,0.046794653,65,draw
Minimax AI,Minimax AI,2.0,1,4.192799568,0.138487101,160,draw
Minimax AI,Minimax AI,2.0,2,2.06420064,2.137009382,102,draw
Minimax AI,Minimax AI,2.0,2,2.056505203,2.050146341,97,draw
Minimax AI,Stockfish AI,1.0,1,0.019114494,1.858213186,26,black
Minimax AI,Stockfish AI,1.0,1,0.039890528,4.312591553,60,black
Minimax AI,Stockfish AI,1.0,2,0.047620058,5.752132416,80,black
Minimax AI,Stockfish AI,1.0,2,0.06440568,9.390362501,88,black
Minimax AI,Stockfish AI,2.0,1,1.202214718,10.24258375,62,black
Minimax AI,Stockfish AI,2.0,1,4.452042818,20.985497,162,black
Minimax AI,Stockfish AI,2.0,2,1.351592779,9.526869774,102,black
Minimax AI,Stockfish AI,2.0,2,1.637643814,12.64701891,128,black
Random AI,Minimax AI,,3,0.0010004043579101,7.246840476989746,44,black
Random AI,Minimax AI,,3,0.001000165939331,4.872679710388184,38,black
Random AI,Minimax AI,,3,0.0001258850097656,7.467450141906738,60,black
Random AI,Minimax AI,,4,0.0035037994384765625,112.65578889846802,62,black
